id,display_name,country_code
A5077079119,Thomas L. Griffiths,US
A5069454833,Jordan W. Suchow,US
A5069999998,Mark E. Whiting,US
A5103706325,James B. Evans,US
A5076651767,Ziv Epstein,US
A5112992954,Rocky Cole,US
A5076732230,Andrew Gully,US
A5027814433,Mohammed Alsobay,US
A5071294124,Ming Yin,US
A5025510459,Michael M. Danziger,US
A5046597934,Lucien Heitz,CH
A5031084511,Juliane A. Lischka,DE
A5085466639,Alena Birrer,CH
A5062125301,Bibek Paudel,US
A5007685841,Laura Laugwitz,DE
A5101803962,Weihua Li,CN
A5055446394,Sam Zhang,US
A5101965096,Zhiming Zheng,CN
A5036936081,Skyler Cranmer,US
A5012327209,Ben M Tappin,GB
A5052168303,Chloe Wittenberg,US
A5045843874,Luke Hewitt,US
A5019512764,Seunghyun Kim,US
A5057624211,Shiza Ali,US
A5102962995,Munmun De Choudhury,US
A5057083249,Michelle Vaccaro,US
A5079825006,Thomas W. Malone,US
A5079079128,Suzanne Holm,DK
A5008020307,James E. Sabin,
A5050073085,David Chinitz,
A5074289360,Carmel Shalev,
A5069603059,Noya Galai,
A5068763840,A Israeli,
A5041337615,Christoph Kiefer,CH
A5014032439,Ryan Woodard,CH
A5031816187,Mark Klein,US
A5052965447,Gourab Ghoshal,US
A5022657536,Zalàn Forrò,CH
A5022368086,Ginestra Bianconi,US
A5109223734,Jean–Philippe Bouchaud,FR
A5076413226,Katharina Reinecke,US
A5102447965,Minh Khoa Nguyen,CH
A5049140696,Michael Näf,CH
A5010436269,Krzysztof Z. Gajos,US
A5082095937,Alexandra Vtyurina,CA
A5071293344,Adam Fourney,US
A5041361121,Burcu Yücesoy,US
A5080680637,Miklós Z. Rácz,US
A5055069190,Gireeja Ranade,US
A5043228682,Eric Horvitz,US
A5043639182,Laura Radaelli,IL
A5111367077,Alex Pentland,US
A5075956753,Erez Shmueli,IL
A5088569788,Michael Aird,AU
A5043657584,Ullrich K. H. Ecker,AU
A5112779500,Briony Swire,AU
A5017914184,Stephan Lewandowsky,AU
A5059083364,Justin De Benedictis-Kessner,
A5068414530,Matthew Baum,US
A5027392119,Teppei Yamamoto,US
A5074522618,Karla Badillo-Urquiola,US
A5046196425,Naim Zierau,CH
A5083020821,Andreas Janson,CH
A5033406681,Jalil Sebastian Wahdatehagh,DE
A5031171331,Jan Marco Leimeister,CH
A5032327024,Serhiy Kandul,CH
A5100454620,Seung‐Hyun Kim,US
A5030788989,Nurun Naher,US
A5037821383,Chen Ling,US
A5087469787,Søren Holm,DK
A5066702972,J. E Sabin,
A5021956373,C. Shalev,
A5074994048,N. Galai,DK
A5032015244,Hiroyuki Odagiri,
A5109805326,Richard R. Nelson,
A5101980060,Liang Gao,CN
A5049135480,Ziyou Gao,CN
A5053433716,Ryan L. Boyd,US
A5091017885,Alexander Spangher,US
A5011998621,Besmira Nushi,GB
A5062276512,James W. Pennebaker,US
A5002528182,Devin Caughey,US
A5044643096,Sara Chatfield,US
A5014379074,Erin Hartman,US
A5055984015,Eric Schickler,US
A5049923911,Jasjeet S. Sekhon,US
A5087150169,Heidi Hartikainen,US
A5055354975,Blair Read,US
A5023525324,Lukas Wolters,US
A5100454626,Seunghyun Kim,US
A5029239726,Joshua Gracie,US
A5046684626,Qing Ke,HK
A5078651528,Winter Mason,US
A5062285844,Meredith Ringel Morris,US
A5064398083,Abdullah Ali,US
A5033097735,Laura Vonessen,US
A5054164320,Dimitrios J. Economou,US
A5016819382,Manali S. Zantye,US
A5075314395,Akhil Arora,US
A5002362611,M. M. Faruque Hasan,US
A5000202774,I. Kovács,HU
A5049602010,Dániel L. Barabási,US
A5052015967,Luca Rossetto,CH
A5014303032,Ralph Gasser,CH
A5058707736,Loris Sauter,CH
A5034703920,Heiko Schuldt,CH
A5070705628,Lotus Zhang,US
A5044610534,Lucy Jiang,US
A5025956553,Nicole L. Washington,US
A5030250319,Augustina Ao Liu,US
A5085478298,Jingyao Shao,US
A5031744461,Leah Findlater,US
A5106173081,Jihye Song,US
A5014325236,Jina Huh,US
A5086974321,Diep N. Nguyen,US
A5013116742,Sampada Regmi,US
A5064224835,Roch Bourbonnais,DE
A5052876977,Mogens H. Jensen,DK
A5101532924,Yicheng Zhang,DK
A5012976652,Péter Pollner,HU
A5086931422,Eleanor Neff Powell,US
A5027504546,Ian Yohai,US
A5037488679,Sears Merritt,US
A5005721051,Dengping Wei,CH
A5100428031,Ting Wang,CN
A5100386464,Ji Wang,CN
A5028488990,Stephen Vaisey,US
A5086011172,Agnieszka Czaplicka,ES
A5071042104,Raúl Toral,ES
A5060753814,M. San Miguel,ES
A5071818172,John W. Mohr,US
A5087175282,Emma K. Towlson,US
A5022449356,Petra E. Vértes,GB
A5076621655,Gang Yan,CN
A5045405753,Yee Lian Chew,GB
A5015479064,Denise S. Walker,GB
A5050316172,William R Schafer,GB
A5113886631,Abigail L. Horn,DE
A5010996132,H. Friedrich,DE
A5015439547,Martin Sterchi,CH
A5063762907,Céline Faverjon,CH
A5112440044,Maria Elena Vargas,CH
A5079449271,John Berezowski,CH
A5014487792,Rolf Grütter,CH
A5021623495,Heiko Nathues,CH
A5076259865,Ryen W. White,US
A5017591085,Maartje ter Hoeve,NL
A5090308773,Robert B. Sim,US
A5037183302,Elnaz Nouri,US
A5031439294,Maarten de Rijke,NL
A5060310064,Leah R. Rosenzweig,US
A5062432559,Bence Bagó,FR
A5045230890,Julia Cambre,US
A5005700214,Alex C. Williams,US
A5051099787,Ian Bicking,US
A5032423232,Abraham Wallin,US
A5033247821,Janice Tsai,US
A5078443228,Chinmay Kulkarni,US
A5041906419,Jofish Kaye,US
A5009786305,Arianna Menardi,IT
A5014112495,Davide Momi,CA
A5051568032,Antonino Vallesi,IT
A5007618142,Emiliano Santarnecchi,US
A5110118358,Frederik W. Wiegel,NL
A5082649012,Kenji Kosaka,
A5114065959,Kinziro Kubota,
A5087024689,Ryuichi Nakamura,
A5029484704,Hirotaro Narabayashi,
A5017507131,Lorenz Fischer,CH
A5102756489,Ahmad Alabdulkareem,SA
A5013559230,Mariam Nouh,SA
A5115598991,Mansour Alsaleh,SA
A5011229206,Vivek K. Singh,US
A5109833231,Abdulrahman Alarifi,SA
A5073189960,Anas Alfaris,SA
